,ArrivalDate,Price,T,RA
753,3/14/2014,7100,22.7,0
754,3/26/2014,7100,24.3,0
755,3/28/2014,7100,26,0
756,4/1/2014,7100,23.6,0
757,4/2/2014,7100,22.9,0
758,4/3/2014,7100,22.9,0
759,4/4/2014,7100,20.2,0
760,4/11/2014,7100,25.3,1
761,4/15/2014,7100,24.3,0
762,4/22/2014,7100,29.6,0
763,4/23/2014,7100,28.6,0
764,4/24/2014,7100,28.4,1
765,4/29/2014,7100,27.3,0
766,5/6/2014,7100,25.5,1
767,5/9/2014,7100,21.2,1
768,5/26/2014,7150,30.3,0
769,5/27/2014,7150,27.3,1
770,5/28/2014,7150,28.1,0
771,5/29/2014,7150,26.8,0
772,5/30/2014,7150,29,0
773,6/2/2014,7150,30.7,0
774,6/3/2014,7150,28.5,1
775,6/4/2014,7150,27.9,1
776,6/5/2014,7150,28.2,1
777,6/6/2014,7150,28,0
778,6/9/2014,7150,27.9,0
779,6/11/2014,7150,29.4,0
780,6/12/2014,7150,29.4,0
781,6/13/2014,7150,31.1,0
